index,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_DEGREE,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE,DAMAGE_COST,FATAL_COND
41463,60651,16.0,0.0,0.0,0.0,1,2008.0,1,2,1,5.0,30,2,1,3,1,1,0,1,1,0,2,2,12,4,6,2020,1.0,0,1,1,1,3,4
41535,60620,62.0,0.0,0.0,0.0,0,2010.0,2,4,1,-1.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,4
41536,60620,62.0,0.0,0.0,0.0,1,2015.0,2,4,1,1.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,4
41537,60620,62.0,0.0,0.0,0.0,1,2005.0,2,3,1,12.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,4
41538,60620,62.0,0.0,0.0,0.0,1,2005.0,2,2,3,3.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,4
41539,60628,22.0,0.0,9.0,0.0,0,2010.0,2,4,1,-1.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,2
41540,60628,22.0,0.0,9.0,0.0,1,2015.0,2,4,1,1.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,2
41541,60628,22.0,0.0,9.0,0.0,1,2005.0,2,3,1,12.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,2
41542,60628,22.0,0.0,9.0,0.0,1,2005.0,2,2,3,3.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,2
41543,60647,22.0,0.0,11.0,0.0,0,2010.0,2,4,1,-1.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,4
41544,60647,22.0,0.0,11.0,0.0,1,2015.0,2,4,1,1.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,4
41545,60647,22.0,0.0,11.0,0.0,1,2005.0,2,3,1,12.0,30,1,1,1,2,1,1,1,1,0,2,4,21,4,6,2020,3.0,1,1,1,1,3,4
